<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>	<PRECO_ANT>
2020.09.18	09:00:00	5254.5	5255.0	5247.0	5248.0	3252	8562	500	5239.5
2020.09.21	09:03:00	5452.0	5453.0	5446.5	5448.5	2822	13063	500	5391.5
2020.09.22	09:03:00	5426.5	5430.5	5425.0	5427.0	4964	12702	500	5418.5
2020.09.23	09:02:00	5508.5	5515.0	5507.0	5509.0	4431	18366	500	5472.0
2020.09.25	09:00:00	5541.5	5544.0	5535.0	5540.0	3682	10594	500	5509.0
2020.09.28	09:03:00	5520.0	5527.0	5520.0	5526.5	4809	17632	500	5562.0
2020.09.29	09:03:00	5646.0	5654.0	5643.0	5653.0	6297	22784	500	5659.5
2020.10.01	09:00:00	5578.0	5583.0	5577.5	5581.5	2359	7554	500	5616.0
2020.10.02	09:00:00	5660.5	5666.0	5657.5	5663.0	3347	9958	500	5646.5
2020.10.05	09:02:00	5660.0	5667.5	5660.0	5666.5	4100	10473	500	5690.5
2020.10.06	09:02:00	5543.0	5546.0	5543.0	5544.0	2353	8335	500	5580.0
2020.10.07	09:00:00	5565.0	5569.0	5561.5	5569.0	3772	9305	500	5595.5
2020.10.08	09:00:00	5595.5	5599.5	5595.0	5598.0	1197	3229	500	5615.0
2020.10.09	09:00:00	5585.0	5587.5	5583.0	5587.0	1738	3888	500	5604.5
2020.10.13	09:00:00	5527.5	5532.5	5527.0	5528.5	855	2525	500	5542.0
2020.10.14	09:00:00	5595.5	5595.5	5563.5	5563.5	5107	13112	500	5565.5
2020.10.15	09:00:00	5633.0	5641.0	5632.5	5640.5	3482	10315	500	5597.0
2020.10.16	09:00:00	5610.0	5613.0	5606.5	5607.0	1544	4466	500	5616.0
2020.10.19	09:00:00	5622.0	5624.0	5616.5	5621.5	3811	9317	500	5647.5
2020.10.21	09:00:00	5601.5	5606.0	5594.0	5596.0	3470	9989	500	5609.5
2020.10.22	09:00:00	5616.0	5622.0	5614.0	5616.5	3578	9175	500	5610.0
2020.10.23	09:00:00	5576.0	5581.5	5575.5	5581.0	3430	8286	500	5601.0
2020.10.26	09:03:00	5646.5	5651.0	5645.0	5645.0	6065	22352	500	5621.5
2020.10.27	09:00:00	5610.5	5610.5	5606.5	5608.5	2693	9150	500	5624.5
2020.10.28	09:03:00	5733.5	5739.0	5729.0	5731.5	8965	36500	500	5709.5
2020.10.29	09:03:00	5785.0	5786.5	5773.5	5775.5	9722	30588	500	5749.0
2020.11.03	09:00:00	5705.0	5714.0	5701.5	5714.0	3903	9422	500	5763.0
2020.11.04	09:03:00	5768.0	5768.0	5757.0	5759.5	6482	21638	500	5761.0
2020.11.05	09:02:00	5615.0	5622.5	5615.0	5619.5	4165	12081	500	5656.5
2020.11.06	09:00:00	5520.0	5524.0	5517.0	5520.0	3855	12337	500	5529.5
2020.11.09	09:03:00	5283.5	5290.0	5275.5	5287.5	8268	22508	500	5370.0
