<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<PRECO_ANT>
2020.09.28	09:03:00	5520.0	5527.0	5520.0	5526.5	4809	17632	5562.0
2020.09.29	09:03:00	5646.0	5654.0	5643.0	5653.0	6297	22784	5659.5
2020.10.01	09:00:00	5578.0	5583.0	5577.5	5581.5	2359	7554	5616.0
2020.10.05	09:02:00	5660.0	5667.5	5660.0	5666.5	4100	10473	5690.5
2020.10.06	09:02:00	5543.0	5546.0	5543.0	5544.0	2353	8335	5580.0
2020.10.07	09:00:00	5565.0	5569.0	5561.5	5569.0	3772	9305	5595.5
2020.10.08	09:00:00	5595.5	5599.5	5595.0	5598.0	1197	3229	5615.0
2020.10.09	09:00:00	5585.0	5587.5	5583.0	5587.0	1738	3888	5604.5
2020.10.13	09:00:00	5527.5	5532.5	5527.0	5528.5	855	2525	5542.0
2020.10.16	09:00:00	5610.0	5613.0	5606.5	5607.0	1544	4466	5616.0
2020.10.19	09:00:00	5622.0	5624.0	5616.5	5621.5	3811	9317	5647.5
2020.10.21	09:00:00	5601.5	5606.0	5594.0	5596.0	3470	9989	5609.5
2020.10.23	09:00:00	5576.0	5581.5	5575.5	5581.0	3430	8286	5601.0
2020.10.27	09:00:00	5610.5	5610.5	5606.5	5608.5	2693	9150	5624.5
2020.11.03	09:00:00	5705.0	5714.0	5701.5	5714.0	3903	9422	5763.0
2020.11.05	09:02:00	5615.0	5622.5	5615.0	5619.5	4165	12081	5656.5
2020.11.06	09:00:00	5520.0	5524.0	5517.0	5520.0	3855	12337	5529.5
2020.11.09	09:03:00	5283.5	5290.0	5275.5	5287.5	8268	22508	5370.0
2020.11.11	09:00:00	5412.5	5421.0	5412.0	5416.0	1825	4263	5418.5
2020.11.13	09:00:00	5455.5	5457.5	5450.5	5453.5	1295	3798	5463.0
2020.11.16	09:00:00	5431.0	5433.0	5419.0	5424.0	3562	8668	5461.5
2020.11.17	09:00:00	5392.0	5396.5	5388.5	5389.0	3565	9190	5421.0
2020.11.20	09:03:00	5290.0	5296.5	5289.0	5293.5	4219	15816	5308.0
2020.11.23	09:00:00	5356.0	5357.0	5350.0	5352.5	2409	7585	5381.5
2020.11.24	09:02:00	5419.0	5421.0	5418.0	5418.5	1520	7708	5442.0
2020.11.27	09:00:00	5331.0	5332.0	5328.0	5329.5	491	1365	5337.0
2020.11.30	09:00:00	5301.0	5306.0	5287.0	5294.5	1999	7053	5348.0
2020.12.01	09:00:00	5317.0	5320.5	5310.0	5312.0	3151	9474	5335.0
2020.12.09	09:00:00	5100.5	5103.5	5096.5	5096.5	2328	7662	5120.0
2020.12.10	09:03:00	5112.0	5116.0	5110.5	5115.0	4591	18690	5172.5
2020.12.14	09:00:00	5039.0	5044.5	5039.0	5043.5	1209	3401	5070.5
2020.12.15	09:02:00	5094.0	5098.5	5091.5	5097.5	2090	6776	5117.5
2020.12.16	09:00:00	5063.0	5066.0	5061.0	5065.5	2873	7434	5084.5
2020.12.17	09:00:00	5060.0	5062.5	5054.0	5062.5	3694	7649	5083.0
2020.12.23	09:00:00	5146.0	5146.0	5138.0	5142.0	2354	5801	5159.5
2020.12.28	09:03:00	5180.0	5187.0	5180.0	5183.0	4478	14520	5220.0
2020.12.29	09:00:00	5227.0	5228.5	5222.5	5226.5	1493	3338	5238.0
2020.12.30	09:00:00	5189.0	5192.5	5189.0	5191.5	302	1281	5214.0
2021.01.04	09:02:00	5131.0	5134.0	5131.0	5133.0	1820	6075	5202.5
2021.01.05	09:00:00	5290.5	5292.0	5282.0	5285.5	1175	2585	5302.5
2021.01.06	09:00:00	5272.5	5273.0	5267.0	5272.0	3115	7771	5295.0
2021.01.08	09:03:00	5387.5	5387.5	5380.5	5381.0	4276	14069	5421.0
2021.01.12	09:00:00	5475.0	5478.0	5475.0	5477.5	551	1452	5489.0
2021.01.14	09:00:00	5297.0	5300.0	5287.0	5291.0	2713	9132	5303.0
2021.01.19	09:00:00	5270.5	5272.5	5270.0	5271.0	1004	2447	5302.0
2021.01.20	09:03:00	5338.0	5342.5	5334.0	5335.5	5612	18402	5362.5
2021.01.21	09:02:00	5249.0	5249.0	5244.0	5244.5	2242	11062	5294.0
2021.01.29	09:00:00	5422.0	5429.0	5421.0	5429.0	1145	3565	5442.0
2021.02.01	09:00:00	5437.5	5437.5	5431.0	5431.5	1494	4405	5465.5
2021.02.02	09:02:00	5400.5	5404.0	5400.0	5401.5	2599	9005	5435.5
2021.02.03	09:00:00	5366.0	5370.0	5361.0	5363.5	918	3796	5371.5
2021.02.05	09:00:00	5412.0	5419.0	5412.0	5418.0	2577	8986	5430.0
2021.02.09	09:03:00	5364.0	5376.0	5363.5	5374.5	6492	20643	5371.0
2021.02.11	09:00:00	5374.0	5376.5	5365.5	5367.0	3376	10881	5391.0
2021.02.18	09:00:00	5392.5	5398.5	5391.5	5398.5	2681	6424	5414.0
2021.02.23	09:00:00	5452.5	5456.0	5452.5	5455.0	761	1807	5467.0
2021.02.24	09:00:00	5417.5	5419.0	5417.5	5418.5	529	2388	5442.5
2021.03.01	09:00:00	5593.0	5598.0	5591.0	5591.0	2072	7347	5610.0
2021.03.04	09:05:00	5591.0	5599.0	5590.0	5594.0	6528	19912	5622.0
2021.03.09	09:03:00	5840.0	5840.5	5831.0	5833.0	7283	22718	5882.5
2021.03.10	09:00:00	5801.5	5803.0	5800.0	5802.5	514	2092	5808.0
2021.03.11	09:02:00	5595.0	5595.0	5587.0	5590.0	2375	10297	5678.5
2021.03.18	09:02:00	5508.0	5508.0	5503.0	5506.5	4928	18735	5586.0
2021.03.19	09:00:00	5530.0	5533.0	5527.5	5531.5	1189	3329	5565.0
2021.03.24	09:00:00	5510.0	5515.5	5506.5	5509.0	2952	9104	5527.5
2021.04.01	09:00:00	5635.0	5635.0	5631.0	5633.0	967	3250	5641.0
2021.04.05	09:00:00	5678.5	5683.5	5678.5	5682.5	644	2550	5718.5
2021.04.08	09:00:00	5615.0	5617.5	5613.0	5614.5	1247	3401	5625.5
