	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
227	2020.09.17	17:55:00	5240.0	5243.0	5238.5	5239.5	1337	6957	500
228	2020.09.18	09:00:00	5254.5	5255.0	5247.0	5248.0	3252	8562	500
763	2020.09.18	17:55:00	5399.5	5401.0	5389.5	5391.5	1949	10920	500
764	2020.09.21	09:03:00	5452.0	5453.0	5446.5	5448.5	2822	13063	500
1296	2020.09.21	17:55:00	5414.5	5418.5	5412.5	5418.5	1655	8319	500
1297	2020.09.22	09:03:00	5426.5	5430.5	5425.0	5427.0	4964	12702	500
1829	2020.09.22	17:55:00	5477.5	5478.5	5471.0	5472.0	1547	7459	500
1830	2020.09.23	09:02:00	5508.5	5515.0	5507.0	5509.0	4431	18366	500
2896	2020.09.24	17:55:00	5508.5	5513.0	5507.5	5509.0	1272	8385	500
2897	2020.09.25	09:00:00	5541.5	5544.0	5535.0	5540.0	3682	10594	500
3432	2020.09.25	17:55:00	5560.0	5565.0	5559.5	5562.0	1467	6728	500
3433	2020.09.28	09:03:00	5520.0	5527.0	5520.0	5526.5	4809	17632	500
3961	2020.09.28	17:55:00	5659.5	5665.0	5656.5	5659.5	1713	8555	500
3962	2020.09.29	09:03:00	5646.0	5654.0	5643.0	5653.0	6297	22784	500
5030	2020.09.30	17:55:00	5608.0	5616.0	5605.0	5616.0	1869	10062	500
5031	2020.10.01	09:00:00	5578.0	5583.0	5577.5	5581.5	2359	7554	500
5566	2020.10.01	17:55:00	5660.0	5662.0	5646.5	5646.5	1617	7346	500
5567	2020.10.02	09:00:00	5660.5	5666.0	5657.5	5663.0	3347	9958	500
6102	2020.10.02	17:55:00	5690.5	5693.0	5686.0	5690.5	1282	7895	500
6103	2020.10.05	09:02:00	5660.0	5667.5	5660.0	5666.5	4100	10473	500
6636	2020.10.05	17:55:00	5579.5	5591.0	5579.0	5580.0	2435	12667	500
6637	2020.10.06	09:02:00	5543.0	5546.0	5543.0	5544.0	2353	8335	500
7170	2020.10.06	17:55:00	5601.5	5602.0	5595.0	5595.5	1207	7562	500
7171	2020.10.07	09:00:00	5565.0	5569.0	5561.5	5569.0	3772	9305	500
7706	2020.10.07	17:55:00	5617.0	5621.0	5611.5	5615.0	1303	6975	500
7707	2020.10.08	09:00:00	5595.5	5599.5	5595.0	5598.0	1197	3229	500
8242	2020.10.08	17:55:00	5602.5	5607.5	5601.0	5604.5	1376	7838	500
8243	2020.10.09	09:00:00	5585.0	5587.5	5583.0	5587.0	1738	3888	500
8778	2020.10.09	17:55:00	5530.0	5543.0	5529.5	5542.0	1330	6881	500
8779	2020.10.13	09:00:00	5527.5	5532.5	5527.0	5528.5	855	2525	500
9314	2020.10.13	17:55:00	5576.0	5576.5	5565.5	5565.5	1292	5747	500
9315	2020.10.14	09:00:00	5595.5	5595.5	5563.5	5563.5	5107	13112	500
9316	2020.10.14	09:06:00	5581.0	5581.0	5572.5	5573.5	6494	17625	500
9845	2020.10.14	17:55:00	5595.5	5599.0	5593.0	5597.0	1516	9292	500
9846	2020.10.15	09:00:00	5633.0	5641.0	5632.5	5640.5	3482	10315	500
10381	2020.10.15	17:55:00	5615.0	5620.0	5613.5	5616.0	1423	8173	500
10382	2020.10.16	09:00:00	5610.0	5613.0	5606.5	5607.0	1544	4466	500
10917	2020.10.16	17:55:00	5648.0	5650.5	5645.5	5647.5	1381	6975	500
10918	2020.10.19	09:00:00	5622.0	5624.0	5616.5	5621.5	3811	9317	500
11989	2020.10.20	17:55:00	5609.5	5611.0	5604.5	5609.5	1585	7635	500
11990	2020.10.21	09:00:00	5601.5	5606.0	5594.0	5596.0	3470	9989	500
12525	2020.10.21	17:55:00	5608.0	5610.0	5603.0	5610.0	1188	6741	500
12526	2020.10.22	09:00:00	5616.0	5622.0	5614.0	5616.5	3578	9175	500
13061	2020.10.22	17:55:00	5598.0	5602.5	5590.0	5601.0	1661	9795	500
13062	2020.10.23	09:00:00	5576.0	5581.5	5575.5	5581.0	3430	8286	500
13597	2020.10.23	17:55:00	5619.5	5623.0	5610.0	5621.5	1900	10291	500
13598	2020.10.26	09:03:00	5646.5	5651.0	5645.0	5645.0	6065	22352	500
14130	2020.10.26	17:55:00	5626.5	5630.0	5624.5	5624.5	1101	5954	500
14131	2020.10.27	09:00:00	5610.5	5610.5	5606.5	5608.5	2693	9150	500
14666	2020.10.27	17:55:00	5706.5	5712.5	5705.5	5709.5	2296	14468	500
14667	2020.10.28	09:03:00	5733.5	5739.0	5729.0	5731.5	8965	36500	500
15199	2020.10.28	17:55:00	5752.5	5760.0	5749.0	5749.0	1654	8794	500
15200	2020.10.29	09:03:00	5785.0	5786.5	5773.5	5775.5	9722	30588	500
16268	2020.10.30	17:55:00	5745.0	5763.0	5744.5	5763.0	1802	7963	500
16269	2020.11.03	09:00:00	5705.0	5714.0	5701.5	5714.0	3903	9422	500
16838	2020.11.03	18:29:00	5757.5	5762.0	5756.5	5761.0	102	371	500
16839	2020.11.04	09:03:00	5768.0	5768.0	5757.0	5759.5	6482	21638	500
17405	2020.11.04	18:29:00	5660.5	5660.5	5656.5	5656.5	141	462	500
17406	2020.11.05	09:02:00	5615.0	5622.5	5615.0	5619.5	4165	12081	500
17973	2020.11.05	18:29:00	5530.5	5532.0	5528.0	5529.5	191	751	500
17974	2020.11.06	09:00:00	5520.0	5524.0	5517.0	5520.0	3855	12337	500
18543	2020.11.06	18:29:00	5367.0	5375.0	5366.5	5370.0	400	2239	500
18544	2020.11.09	09:03:00	5283.5	5290.0	5275.5	5287.5	8268	22508	500
19677	2020.11.10	18:29:00	5416.0	5419.5	5414.0	5418.5	285	1100	500
19678	2020.11.11	09:00:00	5412.5	5421.0	5412.0	5416.0	1825	4263	500
20817	2020.11.12	18:29:00	5462.5	5463.0	5458.0	5463.0	163	1207	500
