<DATE>	<TIME>	<OPEN>	<CLOSE>	<PRECO_ANT>
2020.09.18	09:00:00	5254.5	5248.0	5239.5
2020.09.21	09:03:00	5452.0	5448.5	5391.5
2020.09.22	09:03:00	5426.5	5427.0	5418.5
2020.09.23	09:02:00	5508.5	5509.0	5472.0
2020.09.25	09:00:00	5541.5	5540.0	5509.0
2020.09.28	09:03:00	5520.0	5526.5	5562.0
2020.09.29	09:03:00	5646.0	5653.0	5659.5
2020.10.01	09:00:00	5578.0	5581.5	5616.0
2020.10.02	09:00:00	5660.5	5663.0	5646.5
2020.10.05	09:02:00	5660.0	5666.5	5690.5
2020.10.06	09:02:00	5543.0	5544.0	5580.0
2020.10.07	09:00:00	5565.0	5569.0	5595.5
2020.10.08	09:00:00	5595.5	5598.0	5615.0
2020.10.09	09:00:00	5585.0	5587.0	5604.5
2020.10.13	09:00:00	5527.5	5528.5	5542.0
2020.10.14	09:00:00	5595.5	5563.5	5565.5
2020.10.15	09:00:00	5633.0	5640.5	5597.0
2020.10.16	09:00:00	5610.0	5607.0	5616.0
2020.10.19	09:00:00	5622.0	5621.5	5647.5
2020.10.21	09:00:00	5601.5	5596.0	5609.5
2020.10.22	09:00:00	5616.0	5616.5	5610.0
2020.10.23	09:00:00	5576.0	5581.0	5601.0
2020.10.26	09:03:00	5646.5	5645.0	5621.5
2020.10.27	09:00:00	5610.5	5608.5	5624.5
2020.10.28	09:03:00	5733.5	5731.5	5709.5
2020.10.29	09:03:00	5785.0	5775.5	5749.0
2020.11.03	09:00:00	5705.0	5714.0	5763.0
2020.11.04	09:03:00	5768.0	5759.5	5761.0
2020.11.05	09:02:00	5615.0	5619.5	5656.5
2020.11.06	09:00:00	5520.0	5520.0	5529.5
2020.11.09	09:03:00	5283.5	5287.5	5370.0
2020.11.11	09:00:00	5412.5	5416.0	5418.5
2020.11.13	09:00:00	5455.5	5453.5	5463.0
2020.11.16	09:00:00	5431.0	5424.0	5461.5
2020.11.17	09:00:00	5392.0	5389.0	5421.0
2020.11.19	09:00:00	5383.0	5374.5	5365.0
2020.11.20	09:03:00	5290.0	5293.5	5308.0
2020.11.23	09:00:00	5356.0	5352.5	5381.5
2020.11.24	09:02:00	5419.0	5418.5	5442.0
2020.11.25	09:00:00	5392.0	5393.5	5374.5
2020.11.26	09:00:00	5345.5	5343.0	5322.0
2020.11.27	09:00:00	5331.0	5329.5	5337.0
2020.11.30	09:00:00	5301.0	5294.5	5348.0
2020.12.01	09:00:00	5317.0	5312.0	5335.0
2020.12.02	09:03:00	5226.0	5228.5	5208.5
2020.12.07	09:00:00	5170.0	5170.0	5159.0
2020.12.08	09:00:00	5121.5	5123.5	5099.5
2020.12.09	09:00:00	5100.5	5096.5	5120.0
2020.12.10	09:03:00	5112.0	5115.0	5172.5
2020.12.11	09:03:00	5055.0	5056.5	5027.5
2020.12.14	09:00:00	5039.0	5043.5	5070.5
2020.12.15	09:02:00	5094.0	5097.5	5117.5
2020.12.16	09:00:00	5063.0	5065.5	5084.5
2020.12.17	09:00:00	5060.0	5062.5	5083.0
2020.12.18	09:00:00	5099.5	5101.5	5057.5
2020.12.21	09:06:00	5203.0	5204.5	5102.0
2020.12.22	09:00:00	5136.0	5138.0	5118.5
2020.12.23	09:00:00	5146.0	5142.0	5159.5
2020.12.28	09:03:00	5180.0	5183.0	5220.0
2020.12.29	09:00:00	5227.0	5226.5	5238.0
2020.12.30	09:00:00	5189.0	5191.5	5214.0
2021.01.04	09:02:00	5131.0	5133.0	5202.5
2021.01.05	09:00:00	5290.5	5285.5	5302.5
2021.01.06	09:00:00	5272.5	5272.0	5295.0
2021.01.07	09:00:00	5345.5	5350.0	5322.0
2021.01.08	09:03:00	5387.5	5381.0	5421.0
2021.01.11	09:03:00	5457.0	5458.5	5422.5
2021.01.12	09:00:00	5475.0	5477.5	5489.0
2021.01.13	09:00:00	5351.5	5350.0	5329.5
2021.01.14	09:00:00	5297.0	5291.0	5303.0
2021.01.15	09:03:00	5244.0	5242.0	5199.0
2021.01.18	09:00:00	5313.5	5305.0	5294.5
2021.01.19	09:00:00	5270.5	5271.0	5302.0
2021.01.20	09:03:00	5338.0	5335.5	5362.5
2021.01.21	09:02:00	5249.0	5244.5	5294.0
2021.01.22	09:04:00	5405.0	5399.0	5353.0
2021.01.27	09:00:00	5371.5	5371.0	5356.0
2021.01.28	09:00:00	5430.0	5426.0	5415.0
2021.01.29	09:00:00	5422.0	5429.0	5442.0
2021.02.01	09:00:00	5437.5	5431.5	5465.5
2021.02.02	09:02:00	5400.5	5401.5	5435.5
2021.02.03	09:00:00	5366.0	5363.5	5371.5
2021.02.04	09:00:00	5375.0	5378.5	5356.5
2021.02.05	09:00:00	5412.0	5418.0	5430.0
2021.02.08	09:00:00	5400.0	5409.0	5375.0
2021.02.09	09:03:00	5364.0	5374.5	5371.0
2021.02.11	09:00:00	5374.0	5367.0	5391.0
2021.02.12	09:00:00	5405.0	5404.5	5370.5
2021.02.17	13:03:00	5429.0	5426.0	5373.0
2021.02.18	09:00:00	5392.5	5398.5	5414.0
2021.02.19	09:02:00	5462.5	5462.0	5431.5
2021.02.22	09:03:00	5510.0	5515.0	5383.0
2021.02.23	09:00:00	5452.5	5455.0	5467.0
2021.02.24	09:00:00	5417.5	5418.5	5442.5
2021.02.25	09:03:00	5436.5	5435.5	5405.0
2021.03.01	09:00:00	5593.0	5591.0	5610.0
2021.03.02	09:03:00	5673.0	5667.0	5647.5
2021.03.03	09:00:00	5693.5	5688.5	5686.0
2021.03.04	09:05:00	5591.0	5594.0	5622.0
2021.03.05	09:00:00	5683.0	5685.0	5675.0
2021.03.08	09:03:00	5740.0	5742.5	5697.0
2021.03.09	09:03:00	5840.0	5833.0	5882.5
2021.03.10	09:00:00	5801.5	5802.5	5808.0
2021.03.11	09:02:00	5595.0	5590.0	5678.5
2021.03.12	09:03:00	5577.5	5575.0	5542.5
2021.03.16	09:00:00	5631.0	5635.0	5621.0
2021.03.17	09:00:00	5665.0	5660.0	5628.0
2021.03.18	09:02:00	5508.0	5506.5	5586.0
2021.03.19	09:00:00	5530.0	5531.5	5565.0
2021.03.22	09:00:00	5510.0	5510.5	5492.0
2021.03.23	09:00:00	5542.0	5549.0	5514.0
2021.03.24	09:00:00	5510.0	5509.0	5527.5
2021.03.29	09:03:00	5767.0	5762.5	5757.0
2021.04.01	09:00:00	5635.0	5633.0	5641.0
2021.04.05	09:00:00	5678.5	5682.5	5718.5
2021.04.08	09:00:00	5615.0	5614.5	5625.5
2021.04.09	09:03:00	5605.0	5604.0	5578.5
2021.04.12	09:00:00	5684.0	5682.0	5697.0
2021.04.14	09:00:00	5708.0	5713.5	5723.0
2021.04.19	09:00:00	5575.5	5580.0	5591.5
2021.04.20	09:00:00	5571.0	5573.5	5549.0
2021.04.22	09:00:00	5558.0	5557.5	5572.5
2021.04.23	09:03:00	5432.0	5429.0	5448.0
2021.04.26	09:03:00	5458.0	5460.5	5477.5
2021.04.30	09:00:00	5369.0	5367.0	5339.5
2021.05.03	09:00:00	5428.0	5426.0	5452.5
2021.05.04	09:00:00	5474.0	5476.5	5453.5
2021.05.05	09:00:00	5450.5	5443.0	5459.5
2021.05.06	09:00:00	5358.0	5358.0	5365.5
2021.05.11	09:00:00	5247.5	5245.0	5234.0
2021.05.12	09:00:00	5243.5	5242.0	5231.5
2021.05.14	09:00:00	5295.0	5290.0	5314.5
2021.05.17	09:00:00	5295.0	5294.0	5280.0
2021.05.18	09:00:00	5270.0	5266.5	5283.5
2021.05.19	09:00:00	5292.5	5296.0	5267.0
2021.05.20	09:00:00	5310.0	5309.5	5318.0
2021.05.25	09:00:00	5314.0	5308.0	5320.5
2021.05.26	09:00:00	5326.5	5326.5	5333.5
2021.05.27	09:00:00	5307.0	5311.0	5314.5
2021.05.28	09:02:00	5258.0	5254.0	5238.0
2021.05.31	09:00:00	5243.0	5248.0	5227.0
2021.06.01	09:03:00	5213.5	5218.0	5232.5
2021.06.02	09:00:00	5170.0	5169.0	5164.5
2021.06.04	09:02:00	5122.0	5120.5	5088.5
2021.06.07	09:03:00	5052.0	5059.5	5060.0
2021.06.08	09:00:00	5055.0	5054.5	5068.0
2021.06.09	09:03:00	5036.0	5039.0	5047.5
2021.06.11	09:00:00	5060.0	5064.0	5066.5
2021.06.14	09:02:00	5115.0	5113.5	5129.0
2021.06.16	09:00:00	5061.0	5063.5	5051.0
2021.06.17	09:02:00	5075.0	5078.0	5063.0
2021.06.21	09:00:00	5078.5	5079.5	5095.5
2021.06.23	09:03:00	4966.5	4965.5	4961.0
2021.06.28	09:03:00	4951.0	4953.5	4936.5
2021.06.29	09:00:00	4943.0	4944.5	4929.0
2021.06.30	09:00:00	4977.0	4972.5	4956.5
2021.07.01	09:03:00	4979.0	4978.5	4987.0
2021.07.02	09:03:00	5051.0	5050.0	5061.5
2021.07.06	09:03:00	5092.0	5091.5	5106.5
2021.07.07	09:00:00	5194.0	5190.0	5212.5
2021.07.08	09:03:00	5290.0	5293.5	5246.5
2021.07.12	09:00:00	5266.5	5270.5	5272.0
2021.07.13	09:00:00	5189.5	5191.5	5183.0
2021.07.14	09:03:00	5163.0	5161.5	5174.0
2021.07.15	09:00:00	5093.5	5094.5	5082.0
2021.07.16	09:00:00	5114.0	5105.0	5123.0
2021.07.19	09:00:00	5165.0	5166.0	5123.0
2021.07.20	09:03:00	5247.5	5240.0	5258.0
2021.07.21	09:00:00	5238.5	5244.0	5228.5
2021.07.23	09:00:00	5202.5	5201.5	5208.5
2021.07.26	09:00:00	5195.0	5196.0	5205.0
2021.07.27	09:00:00	5196.0	5190.5	5180.0
2021.07.29	09:03:00	5087.5	5087.0	5120.5
2021.07.30	09:00:00	5098.5	5100.0	5080.0
2021.08.02	09:00:00	5210.0	5205.5	5234.0
2021.08.04	09:00:00	5204.0	5200.5	5219.0
2021.08.05	09:00:00	5142.5	5138.5	5188.5
2021.08.06	09:00:00	5249.0	5261.5	5269.0
2021.08.11	09:00:00	5210.5	5215.0	5205.0
2021.08.12	09:00:00	5233.0	5233.5	5242.5
2021.08.13	09:00:00	5255.0	5255.5	5267.0
2021.08.16	09:00:00	5286.0	5295.5	5262.0
2021.08.17	09:00:00	5291.5	5283.5	5271.0
2021.08.18	09:00:00	5295.0	5293.0	5307.0
2021.08.19	09:00:00	5426.5	5431.0	5399.5
2021.08.20	09:00:00	5450.0	5452.0	5421.5
2021.08.23	09:00:00	5372.0	5375.5	5383.5
2021.08.24	09:00:00	5368.5	5367.5	5387.0
2021.08.25	09:00:00	5271.5	5267.5	5256.5
2021.08.26	09:00:00	5228.0	5226.5	5218.0
2021.08.27	09:00:00	5258.5	5255.0	5267.0
